Help!,बचाओ!
"Here, please have a seat.","यहां, बैठिये।"
How long have you waited?,तुम कितनी देर से प्रतीक्षा कर रहे हो?
I am able to drive a car.,मैं गाड़ी चला सकता हूँ।
I beg to differ with you.,"माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।"
I can't live without you.,मैं तुम्हारे बिना जी नहीं सकता।
I can't live without you.,मैं तुम्हारे बगैर जी नहीं सकती।
I can't stand it anymore.,मुझसे और सहन नहीं होगा!
I can't walk any further.,मैं और नहीं चल सकती।
I can't walk any further.,मुझसे और नहीं चला जाएगा।
I don't like this jacket.,मुझे यह जैकेट पसंद नहीं है।
I go to school by subway.,मैं मेट्रो लेकर स्कूल जाती हूँ।
I had two cups of coffee.,मैंने दो कप कॉफ़ी पी।
I have a heart condition.,मुझे दिल की बीमारी है।
I have to go to the bank.,मुझे बैंक जाना है।
I heard someone knocking.,मुझे किसी के खटखटाने की आवाज़ सुनाई दी।
I like English and music.,मुझे अंग्रेज़ी और संगीत पसंद हैं।
I like playing the piano.,मुझे पियानो बजाना पसंद है।
I need coughing medicine.,मुझे खाँसी की दवाई चाहिए।
I ran into an old friend.,मेरी एक पुराने दोस्त से मुलाक़ात हुई।
I think that he is right.,मुझे लगता है वह सही है।
I was waiting for a taxi.,मैं टैक्सी का इंतेज़ार कर रहा था।
I was waiting for a taxi.,मैं टैक्सी की प्रतीक्षा कर रहा था।
I will explain it to him.,मैं उसको यह बात समझाउँगा।
I will have to help them.,मुझे उनकी मदद करनी पड़ेगी।
I will never do it again.,मैं फिरसे नहीं करूँगा।
I'd like to get a refund.,मुझे अपने पैसे वापस चाहिए।
I'll call you back later.,मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।
I'll call you back later.,मैं आपको थोड़ी देर बाद फ़ोन करूँगा।
I've read the first page.,मैंने पहला पृष्ठ पढ़ा लिया I
Iron is harder than gold.,लोहा सोने से सख्त होता है।
Is your father a teacher?,क्या आपके पिताजी अध्यापक हैं?
Is your father a teacher?,क्या तुम्हारे पिताजी अध्यापक हैं?
Is your father a teacher?,क्या आपके पापा अध्यापक हैं?
Is your father a teacher?,क्या तुम्हारे पापा अध्यापक हैं?
Is your father a teacher?,क्या आपके पिताजी टीचर हैं?
Is your father a teacher?,क्या तुम्हारे पिताजी टीचर हैं?
Is your father a teacher?,क्या आपके पापा टीचर हैं?
Is your father a teacher?,तेरा बाप टीचर है क्या?
It is almost ten o'clock.,दस बजने वाले हैं।
Let me introduce my wife.,यह मेरी पत्नी है।
Let me know your address.,मुझे अपना पता बतादेना।
My father died of cancer.,मेरे पिताजी कैंसर से चल बसे।
Please wait five minutes.,कृपया पाँच मिनट ठहरिए।
She is an obstinate girl.,वह एक ज़िद्दी लड़की है।
She refused to notice me.,उसने मुझे ध्यान में लेने से इनकार करदिआ।
The food is getting cold.,खाना ठंडा हो रहा है।
The party was successful.,पार्टी कामयाब रही।
These are very old books.,ये किताबें काफ़ी पुरानी हैं।
This amount includes tax.,इस कीमत में टैक्स शामिल है।
This house has six rooms.,इस घर में छः कमरे हैं।
This road is very narrow.,यह रास्ता बहुत पतला है।
Tokyo is a very big city.,टोक्यो बहुत बड़ा शहर है।
Tom is able to swim well.,टॉम को अच्छे से तैरना आता है।
We had no water to drink.,हमारे पास पीने के लिए पानी नहीं था।
We import tea from India.,हम भारत से चाय का आयात करते हैं।
We would die without air.,हम हवा के बिना मर जाएँगे।
What are you looking for?,क्या ढूँढ रहे हो?
What happened last night?,कल रात क्या हुआ?
What he lacks is courage.,उसको बहादुरी की ज़रूरत है।
What school do you go to?,तुम कौनसे स्कूल में पढ़ते हो?
What time do you go home?,तुम किस समय घर जाती हो?
When are you coming back?,तुम वापस कब आओगे?
When did you get married?,तुम्हारी शादी कब हुई थी?
Will you please go there?,आप वहाँ जाएँगे क्या?
"Yes, I like it very much.","हाँ, मुझे यह बहुत पसंद है।"
You have to wait in line.,आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।
You made me lose my mind.,तुमने मुझे पागल कर दिया।
Can you come to the party?,तुम पार्टी में आ सकते हो क्या?
Come to my house at eight.,मेरे घर आठ बजे आना।
Did the police arrest Tom?,पुलीस ने टॉम को गिरफ़्तार किया क्या?
Do you believe in fairies?,तुम परियों में विश्वास करते हो क्या?
Do you believe in fairies?,तुम परियों में विश्वास करती हो क्या?
Do you have a larger size?,आपके पास इससे बड़े नाप का है क्या?
Do you want to come along?,तुम साथ आना चाहते हो क्या?
Don't leave the door open.,दरवाज़े को खुला मत छोड़ो।
Have you been here before?,तुम यहाँ पहले आए हुए हो क्या?
He began to learn English.,उसने अंग्रेज़ी सीखना शुरू किया।
He came back from America.,वह अमरीका से वापस आ गया।
He couldn't run very fast.,वह ज़्यादा तेज़ नहीं भाग सकता था।
He hammered at the window.,उसने खिड़की पर ज़ोर लगाकर खटखटाया।
He has many history books.,उसके पास बहुत सारी इतिहास की किताबें हैं।
He hesitated for a moment.,उसने थोड़ी देर हिचकिचाया।
He is one of my neighbors.,वह मेरे पड़ोसियों में से एक है।
He makes fun of everybody.,वह सबका मज़ाक उड़ाता है।
He often plays the guitar.,वह अक्सर गिटार बजाता है।
He taught me how to write.,उसने मुझे लिखना सिखाया।
He walked along the river.,हमने नदी के किनारे सैर करी।
He wanted to buy the book.,वह किताब को खरीदना चाह्ता था।
He was afraid to go there.,वह वहाँ जाने से डरता था।
He was burning with fever.,वह बुखार से जल रहा था।
He was looking at the sky.,वह आसमान की ओर देख रहा था।
He was sentenced to death.,उसे मौत की सज़ा दे दी गई।
He witnessed the accident.,उसने दुर्घटना को अपनी आँखों से देखा था।
He witnessed the accident.,वह उस दुर्घटना का चश्मदीद गवाह था।
He's sleeping like a baby.,वह बच्चे की तरह सो रहा है।
His story may not be true.,हो सकता है कि उसकी कहानी सच न हो।
How many bowls do we have?,हमारे पास कितनी कटोरियाँ हैं?
How many cars do you have?,आपके पास कितनी गाड़ियाँ हैं?
I am able to read English.,मैं अंग्रेज़ी पढ़ सकती हूँ।
I bought a book yesterday.,मैंने कल एक किताब खरीदी थी।
I can't make it this time.,मैं इस बार नहीं आ सकता।
I caught a glimpse of her.,मुझे उसकी झलक दिखाई दी।
I fixed the car yesterday.,मैंने गाड़ी को कल ठीक किया था।
I found out where she was.,मुझे पता लगा कि वह कहाँ थी।
I get up at six every day.,मैं रोज़ छः बजे उठता हूँ।
I have a Facebook account.,मेरे पास फ़ेसबुक खाता है।
I have no time to see you.,मेरे पास तुमसे मिलने के लिए समय नहीं है।
I haven't seen Tom lately.,मैंने टॉम को हाल में नहीं देखा है।
I haven't seen him lately.,मैंने उसे हाल में नहीं देखा है।
I met him at the barber's.,मैं उससे नाई के यहाँ मिला।
I usually get up at eight.,मैं आमतौर पर आठ बजे उठा करता हूँ।
I want to see the manager.,मैं मैनेजर से मिलना चाह्ती हूँ।
I want to travel with you.,मैं तुम्हारे साथ सफ़र करना चाहता हूँ।
I was afraid he might die.,मुझे उसके मरने का डर था।
I wish I had this problem.,काश ये समस्या मुझे हुई होती।
I wish I had this problem.,काश ये मुसीबत मेरे पल्ले पड़ती।
I'll bring one more towel.,मैं एक और तौलिया लाती हूँ।
I'm busy with my homework.,मैं अपने होमवर्क में लगा हुआ हूँ।
I'm disappointed with you.,मैं तुमसे निराश हूँ।
I'm glad to see you again.,मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।
I'm interested in history.,मुझे इतिहास में दिलचस्पी है।
I'm standing in the shade.,मैं छाँओं में खड़ा हूँ।
I'm waiting for my mother.,मैं अपनी माँ का इंतेज़ार कर रहा हूँ।
It is a difficult problem.,यह समस्या बहुत कठिन है।
It is easy to add 5 to 10.,पाँच से दस को जोड़ना बहुत आसान है।
It's already nine o'clock.,नौ बज चुकें हैं।
It's for a friend of mine.,यह मेरे दोस्त के लिए है।
Let's meet this afternoon.,इस दोपहर को मिलते हैं।
May I ask a few questions?,क्या मैं चंद सवाल पूछ सकती हूँ?
My brother lives in Tokyo.,मेरा भाई टोक्यो में रहता है।
My father may be sleeping.,मेरे पिता शायद सो रहे होंगे।
My father stopped smoking.,मेरे पिता ने सिगरेट पीना बंद कर दिया।
My right foot is sleeping.,मेरा दाहिना पैर सो गया है।
My wife really hates cats.,मेरी बीवी को बिल्लियों से नफ़रत है।
Never speak ill of others.,दूसरों की बुराई कभी नहीं करनी चाहिए।
One of my bags is missing.,मेरी एक अटैची ग़ायब है।
One of my bags is missing.,मुझे अपनी एक अटैची मिल नहीं रही है।
School begins at 8:30 a.m.,स्कूल साढ़े-आठ बजे शुरू होता है।
She has not come here yet.,वह अभी तक यहाँ नहीं आई है।
She showed me her new car.,उसने मुझे अपनी नई गाड़ी दिखाई।
Smog causes plants to die.,स्मॉग से पेड़-पौधों की मौत होती है।
Thank you for the present.,तोहफ़े के लिए धन्यवाद।
The enemy won't get close.,दुश्मन पास नहीं आ पाएगा।
The haze enveloped London.,लंदन में धुंध छा गई थी।
The king abused his power.,राजा ने अपनी ताकत का दुरुपयोग किया।
The prisoner was released.,क़ैदी को रिहा कर दिया गया।
There is no TV in my room.,मेरे कमरे में टीवी नहीं है।
There must be another way.,कोई और रास्ता भी होगा।
These are very big apples.,ये सेब बहुत बड़े हैं।
They looked at each other.,उन्होंने एक-दूसरे को देखा।
This desk is made of wood.,यह मेज़ लकड़ी की बनी है।
This is my father's house.,मेरे पापा का घर है।
Today is Independence Day.,आज स्वतंत्रता दिवस है।
Tom couldn't help but cry.,टॉम रो पड़ा।
Twenty families live here.,यहाँ बीस परिवार बसे हुए हैं।
We painted the door green.,हमने दरवाज़े को हरे रंग से पोत दिया।
We walked around the pond.,हम तालाब के आस-पास टहलें।
We're here to protect you.,आपकी रक्षा करना हमारा काम है।
We're here to protect you.,हम आपकी रक्षा करने के लिए यहाँ आए हैं।
What a lucky person he is!,वह कितना नसीबवाला है!
What's your favorite food?,तुम्हारा सबसे पसंदीता खाना कौनसा है?
Where's the changing room?,कपड़े बदलने का कमरा कहाँ पर है?
Will you make room for me?,मेरे लिए थोड़ी जगह बनाओगे क्या?
Would you mind if I smoke?,मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?
Yesterday was my birthday.,कल मेरा जन्मदिन था।
"You are tired, aren't you?","तुम थक गए हो, है ना?"
You had better go at once.,तुम्हे तुरंत जाना चाहिए।
"You keep a dog, don't you?","तुम्हारे पास एक कुत्ता है, है न?"
A crow is as black as coal.,कौआ कोयले जैसा काला होता है।
Come see me again tomorrow.,मुझसे कल फिर आकर मिलना।
Do you have an appointment?,आपके पास अपौइंटमेंट है क्या?
Don't fail to call me back.,मुझे वापस फ़ोन करना मत भूलना।
Don't say things like that.,ऐसा मत बोलो।
Each of them has a bicycle.,उन सभी के पास साईकल है।
Father is watering flowers.,पापा फूलों को पानी दे रहे हैं।
"Greeks often eat fish, too.",ग्रीक लोग भी अक्सर मछली खाते हैं।
Have you ever seen a koala?,तुमने कभी क्वाला देखा है?
He asked me for some money.,उसने मुझसे थोड़े पैसे माँगे।
He became a police officer.,वह पुलिस अफ़सर बन गया।
He believes whatever I say.,मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है।
He decided to quit smoking.,उसने सिगरेट पीना छोड़ने का फ़ैसला किया।
He did the work on his own.,उसने काम अपने-आप किया।
He is engaged to my sister.,उसकी मेरी बहन के साथ सगाई हो चुकी है।
He occasionally visited me.,वह कभी-कभार मुझसे मिलने आता था।
He saw a dog near the door.,उसने दरवाज़े के पास एक कुत्ता देखा।
He usually comes home late.,वह आमतौर पर घर देर से आता है।
He visited Kyoto last year.,वह पिछले साल क्योटो गया था।
He's always late for class.,वह क्लास में हमेशा देर से आता है।
Honesty is the best policy.,ईमानदारी सर्वोत्तम नीति है।
How many books do you have?,तुम्हारे पास कितनी किताबें हैं?
I am interested in English.,मुझे अंग्रेज़ी में दिलचस्पी है।
I arrived later than usual.,मैं आमतौर के मुकाबले में देर से आया।
I believe whatever he says.,"वह जो भी कहे, मुझे उस पर यकीन है।"
I bought two dozen pencils.,मैंने दो दर्जन पेनसिलें खरीदीं।
I can't take any more work.,मुझसे और काम नहीं किया जाएगा।
I cover twenty miles a day.,मैं रोज़ बीस मील चलता हूँ।
I don't believe him at all.,मैं उसका बिलकुल भी यकीन नहीं करता।
I don't care what they say.,वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।
I don't know what to study.,मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।
I had to decline his offer.,मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।
I sat between Tom and John.,मैं टॉम और जॉन के बीच में बैठा।
"I was born on June 4, 1974.","मैं ४ जून, १९७४ को पैदा हुआ था।"
I was in London last month.,मैं पिछले महीने लंदन में था।
I'm a good-for-nothing bum.,मैं निकम्मा हूँ।
Is the mouse dead or alive?,चूहा ज़िन्दा है या मर गया है?
It is said that he is sick.,कहा जाता है कि वह बीमार है।
It seems interesting to me.,मुझे बहुत मज़ेदार लगती है!
It seems interesting to me.,मुझे बहुत दिलचस्प लगती है!
It's raining cats and dogs.,मुसलाधार वर्षा होती है।
It's the same for everyone.,सब लोगों के लिए एक समान है।
My aunt brought me flowers.,मेरी बुआ-जी मेरे लिए फूल लाईं।
My boss will not say 'yes'.,"मेरे बॉस ""हाँ"" नहीं कहेंगे।"
Our train stopped suddenly.,हमारी ट्रेन अचानक रुक गई।
Place it wherever you like.,जहाँ भी रखना है रखदो।
She forgot to feed her dog.,वह अपने कुत्ते को खिलाना भूल गई।
She has long arms and legs.,उसके हाथ-पैर लम्बे हैं।
She is in bed with a fever.,वह बुखार के साथ बिस्तर में लेटी हुई है।
She knew the story already.,उसको कहानी पहले से ही पता थी।
She likes her school a lot.,उसे अपना स्कूल बहुत पसंद है।
She plays tennis very well.,वह टेनिस बहुत अच्छा खेलती है।
She suddenly became famous.,वह अचानक से मशहूर बन गई।
She was crying in her room.,वह अपने कमरे में रो रही थी।
Take good care of yourself.,अपना अच्छे से ख़याल रखना।
That's really a great idea.,यह तो बहुत ही अच्छा सुझाव है।
The box he found was empty.,उसे जो डब्बा मिला वह खाली था।
The bride suddenly laughed.,दुल्हन अचानक से हँस पड़ी।
The man hit me on the head.,उस आदमी ने मुझे सर पर मारा।
The medicine tastes bitter.,इस दवाई का स्वाद बहुत कड़वा है।
The mud clung to his shoes.,उसके जूतों पर कीचड़ लगी हुई थी।
The novel is very exciting.,यह उपन्यास बहुत रोमांचक है।
The paint hasn't dried yet.,पेंट अभी तक सूखा नहीं है।
The rain continued all day.,बरसात पूरे दिन होती रही।
The water is not drinkable.,यह पानी पिया नहीं जा सकता है।
There is a bag on the desk.,मेज़ पर बस्ता रखा हुआ है।
This car was made in Japan.,यह गाड़ी जापान में बनी थी।
This is the monsoon season.,यह वर्षा ऋतु का मौसम है।
This word comes from Greek.,यह शब्द ग्रीक से आता है।
Tom and I'll both be there.,टॉम और मैं दोनों वहाँ रहेंगे।
"Turn off the light, please.","बत्ती बंद करदो, प्लीज़।"
"Turn off the light, please.",कृपया बत्ती बंद कर दीजिए।
We all laughed at his joke.,हम सब उसके मज़ाक पर हँसे।
We celebrated his birthday.,हमने उसका जन्मदिन मनाया।
We don't know where we are.,हमें नहीं पता हम कहाँ हैं।
We should keep our promise.,हमे अपना वादा निभाना चाहिए।
We've got that figured out.,हमने उसका हिसाब लगा लिया।
What I said hurt his pride.,मेरी बात ने उसके अभिमान पर चोट पहुँचाई।
What do you call this bird?,इस पक्षी का नाम क्या है?
What happened to our order?,हमारे औरडर का क्या हुआ?
Where did all the bread go?,सारा ब्रॅड कहाँ चला गया?
Where is the changing room?,कपड़े बदलने का कमरा कहाँ पर है?
Will you turn on the light?,बत्ती चालू कर दोगे क्या?
You are on the wrong train.,आप गलत ट्रेन पर हैं।
A day has twenty-four hours.,एक दिन में चौबीस घंटे होते हैं।
Are you for or against this?,आप इसके हित में हैं या नहीं?
"At last, we got to the lake.",हम आखिरकार झील तक पहुँच गए।
Bring your sister next time.,अगली बार अपनी बहन को भी साथ लाना।
Can you teach me how to fly?,क्या तुम मुझे उड़ना सिखा सकते हो?
Could you speak more slowly?,थोड़ा धीरे बोल सकते हैं क्या?
Do you have any soft drinks?,तुम्हारे पास कोक-शोक है क्या?
Do you want to go somewhere?,आपको कहीं जाना है?
Everyone felt sorry for Tom.,सब टॉम के लिए दुःखी थे I
Everyone speaks well of him.,सभी उसकी अच्छाई करते है।
France is in Western Europe.,फ़्रान्स पश्चिमी यूरोप में है।
France is in western Europe.,फ़्रान्स पश्चिमी यूरोप में है।
He closed the door suddenly.,उसने अचानक से दरवाज़ा बंद किया।
He could not breathe deeply.,वह लम्बी सांस नहीं ले पाता था।
He explained the rule to me.,उसने मुझे वह नियम समझाया।
He plays baseball every day.,वह हर रोज़ बेसबॉल खेलता है।
He prefers French to German.,उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।
He read this book yesterday.,उसने यह किताब कल पढ़ी थी।
He repeated his name slowly.,उसने अपना नाम दोबारा धीरे से बोला।
He treats me like his slave.,वह मुझसे ग़ुलाम की तरह बर्ताव करता है।
He went there instead of me.,वह मेरे बजाय वहां गया।
His birthday is August 21st.,उसका जन्मदिन इक्कीस अगस्त को है।
How long will you stay here?,आप यहाँ कितने दिन रहेंगे?
I accompanied her on a walk.,मैं उसके साथ सैर के लिए गया।
I believe you like your job.,मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।
I didn't go out last Sunday.,मैं पिछले रविवार बाहर नहीं निकला था।
I don't know if he knows it.,मुझे नहीं पता कि उसको पता है कि नहीं।
I don't know what Tom knows.,मुझे नहीं पता कि टॉम को क्या पता है।
I don't know what they know.,मुझे नहीं पता कि उन्हें क्या पता है।
I gave him what money I had.,मेरे पास जो भी पैसे थे मैंने उसे दे दिए।
I have just cleaned my room.,मैंने अपना कमरा अभी अभी साफ़ किया है।
I have seen her three times.,मैंने उसे तीन बार देखा है।
I prefer walking to cycling.,मुझे सायकल चलाना चलने से ज़्यादा पसंद है।
I saw him crossing the road.,मैंने उसे सड़क पार करते हुए देखा।
I was born in Osaka in 1977.,मेरा जन्म सन १९७७ में ओसाका में हुआ था।
I'm more beautiful than you.,मैं तुमसे ज़्यादा खूबसूरत हूँ।
"I'm sorry, my father is out.","माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।"
Insert it wherever you like.,जहाँ भी घुसाना है घुसा दो।
Iron is a very useful metal.,लोहा एक बहुत उपयोगी धातु है।
Is Spanish spoken in Mexico?,मेक्सिको में स्पैनिश बोली जाती है क्या?
Is it hard to speak English?,अंग्रेज़ी बोलना मुश्किल होता है क्या?
It is a sheer waste of time.,यह सरासर समय की बर्बादी है।
It was easy for me to do so.,यह मेरे लिए करना बहुत आसान था।
It was too difficult for me.,वह मेरे लिए बहुत कठिन था।
It's like a dream come true.,मानो कोई सपना सच आ गया हो।
Mary loves going to the spa.,मेरी को स्पा जाना पसंद है।
My jeans shrank in the wash.,मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
No answer is also an answer.,जवाब न देना भी एक तरह का जवाब होता है।
Nobody answered my question.,किसी ने भी मेरे सवाल का जवाब नहीं दिया।
Nobody else offered to help.,किसी और ने मदद करने की इच्छा प्रकट नहीं करी।
Please give me a cup of tea.,मुझे एक कप चाय दीजिए।
Please speak in a low voice.,कृपया धीमी आवाज़ में बात कीजिए।
Please speak in a low voice.,कृपया हल्की आवाज़ में बात कीजिए।
See what's going on outside.,देखो बाहर क्या हो रहा है।
She allowed him to go alone.,उसने उसको अकेले जाने दिया।
She declined the invitation.,उसने आमंत्रण को स्वीकार नहीं किया।
She dialed the wrong number.,उसने गलत नम्बर मिला डाला।
She said that she was happy.,उसने कहा कि वह खुश थी।
She was robbed of her purse.,उसका पर्स उससे चुरा लिया गया।
Smoking is not allowed here.,यहाँ धूम्रपान करना मना है।
Soldiers are used to danger.,सिपाहियों को खतरे से खेलने की आदत होती है।
Someone knocked on the door.,किसी ने दरवाज़े पर खटखटाया।
Speaking English isn't easy.,अंग्रेज़ी बोलना आसान नहीं है।
Stand still and keep silent.,शांति से खड़े रहो।
"Take off your socks, please.",अपने मोज़े उतारिए।
Ten houses were burned down.,दस घर जलकर राख हो गए।
Thank you for the other day.,उस दिन के लिए बहुत बहुत धन्यवाद।
That town is two miles away.,वह नगर दो मील की दूरी पर है।
The Japanese have dark eyes.,जापानियों की आँखें कालीं होतीं हैं।
The hot water isn't running.,गरम पानी नहीं चल रहा है।
The store is not open today.,दुकान आज बंद है।
The store is not open today.,दुकान आज खुली नहीं है।
They are both good teachers.,वे दोनों अच्छे अध्यापक हैं।
This must be a real diamond.,यह असली हीरा होगा।
Today I turn four years old.,आज मैं चार साल का हो गया हूँ।
Tom isn't able to drive yet.,टॉम अभी गाड़ी नहीं चला सकता।
We drink our tea with sugar.,हम चाय चीनी के साथ लेते हैं।
We drink our tea with sugar.,हम चाय चीनी डालकर पीते हैं।
We really enjoyed ourselves.,हमने बड़ी मौज करी।
We were next-door neighbors.,हम पड़ोसी हुआ करते थे।
What have you come here for?,आप लोग यहाँ क्या करने के लिए आए हैं?
Where is the south terminal?,दक्षिण टर्मिनल कहाँ पर है?
Where would you like to sit?,आप कहाँ बैठना चाहेंगे?
Why don't you come visit us?,तुम हमसे मिलने क्यों नहीं आते?
Would you like to go abroad?,तुम विदेश जाना चाहती हो क्या?
"You are not coming, are you?",तुम नहीं आ रहे हो ना?
Are they Japanese or Chinese?,वे जापानी हैं या चीनी?
Are you meeting someone here?,तुम यहाँ किसी से मिल रहे हो क्या?
Brush your teeth after meals.,खाना खाने के बाद दाँतों को साफ़ करो।
Correct the underlined words.,रेखांकित शब्दों को सुधारिए।
Do you have to make a speech?,तुम्हे भाषण देना होगा क्या?
Do you know what he has done?,क्या आपको पता है उसने क्या किया है?
Don't lean against this wall.,इस दीवार पर मत झुँको।
English is spoken in America.,अमेरिका में अंग्रेजी बोली जाती है।
Football is my favorite game.,फ़ुटबॉल मेरा सबसे पसंदीता खेल है।
Have you ever been to Canada?,तुम कभी कनाडा गए हो क्या?
Have you ever written a book?,आपने कभी किताब लिखी है क्या?
Have your roses come out yet?,तुम्हारे गुलाब खिल गए हैं क्या?
He came to see you yesterday.,वह कल तुमसे मिलने आया था।
He changed schools last year.,उसने पिछले साल स्कूल बदला था।
He eats lunch at a cafeteria.,वह कैनटीन में लन्च खाता है।
He wants these shirts washed.,उसे ये कमीज़ें धुलवानीं हैं।
He wishes to become a doctor.,उसकी डॉक्टर बनने की अभिलाषा है।
He's out of town on business.,वे काम से शहर से बाहर गए हुएँ हैं।
His clothes always smell bad.,उसके कपड़े हमेशा बदबू करतें हैं।
His long speech bored us all.,उसका लम्बा भाषण सुनकर हम सब बोर हो गए।
How did you come to know her?,तुम उसे कैसे जानते थे?
I agree with you to a degree.,मैं तुम्हारे साथ एक हद तक सहमत हूँ।
I bought two bottles of milk.,मैंने दूध की दो बोतलें ख़रीदीं।
I can't allow you to do that.,मैं तुम्हें यह करने नहीं दे सकता।
I can't really talk about it.,मैं उस बारे में कुछ बोल नहीं सकता।
I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
I don't like to drink coffee.,मुझे कॉफ़ी पीना पसंद नहीं।
I followed the deer's tracks.,मैंने हिरण के पैरों के निशानों का पीछा किया।
I gave up smoking for a year.,मैंने एक साल के लिए सिगरेट पीना छोड़ दिया था।
I have a bad pain in my back.,मुझे पीठ में बुरी तरह से दर्द हो रहा है।
I like both science and math.,मुझे विज्ञान और गणित दोनों पसंद हैं।
I was laughed at by everyone.,सब लोग मुझपर हँसे।
I went there dozens of times.,मैं वहाँ दसियों बार जा चुका हूँ।
I worked on the farm all day.,मैंने पूरे दिन खेत में काम किया।
I'm catching the 11:00 train.,मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।
It appears that he is honest.,वह ईमानदार लगता है।
It was her fate to die young.,छोटी उम्र में मरना उसके भाग्य में था।
It's no use arguing with him.,उससे बहस करने में कोई फ़ायदा नहीं है।
Most people like watching TV.,ज़्यादातर लोगों को टीवी देखना अच्छा लगता है।
My father has just come home.,मेरे पापा अभी अभी घर वापस आएँ हैं।
My grandmother speaks slowly.,मेरी नानी धीरे-धीरे बोलतीं हैं।
My hobby is collecting coins.,सिक्कों को इकट्ठा करना मेरा शौक है।
My telephone is out of order.,मेरा फ़ोन खराब है।
Now they have three children.,अब उनके तीन बच्चे हैं।
One language is never enough.,एक भाषा कभी काफ़ी नहीं होती।
Please make yourself at home.,इसको अपना घर ही समझो।
Please make yourself at home.,इसको अपना घर ही समझिए।
Please show me your notebook.,मुझे अपनी कौपी दिखाईए।
Say which one you would like.,बोलो तुम्हे कौनसा चाहिए।
She will be back before long.,वह थोड़ी देर में ही वापस आ जाएगी।
Stop beating around the bush.,"घूमफिरकर बात मत करो, सीधे-सीधे बोलो।"
That is no business of yours.,इसका तुमसे कोई लेना-देना नहीं है।
The apple has begun to decay.,वह सेव सड़ने लगा है।
The car hit a telephone pole.,गाड़ी फ़ोन के खम्बे से जाकर भिड़ पड़ी।
The girl did nothing but cry.,उस लड़की ने रोने के अलावा और कुछ नहीं किया।
The horse is a useful animal.,घोड़ा बड़े काम का जानवर है।
The king crushed his enemies.,राजा ने अपने दुश्मनों को कुचल दिया।
The monkey climbed up a tree.,बंदर पेड़ पर चढ़ा।
The population is increasing.,आबादी बढ़ रही है।
The population is increasing.,जनसंख्या बढ़ रही है।
The train ran off the tracks.,ट्रेन पटरी से उतर गई।
There is a desk in this room.,इस कमरे में मेज़ है।
They abandoned their country.,उन्होंने अपने देश को त्याग दिया।
They are talking about music.,वे संगीत के बारे में बात कर रहे हैं।
They resolved to work harder.,उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।
We should love our neighbors.,हमे पड़ोसियों के साथ प्रेमपूर्वक रहना चहिए।
When did the accident happen?,हादसा कब हुआ?
When did the accident happen?,घटना कब हुई?
Won't you join us for dinner?,हमारे साथ (रात का) खाना खाएँगे ना?
You must send for the doctor.,तुम्हें डॉक्टर बुलाना होगा।
You should've come yesterday.,तुम्हे कल आना चाहिए था।
You should've seen the movie.,तुम्हें फ़िल्म देखनी चहिए थी।
Are you interested in flowers?,तुम्हें फूलों में दिलचस्पी है क्या?
Do you live with your parents?,क्या तुम अपने मम्मी-पापा के साथ रहते हो?
Don't go back on your promise.,अपना वादा मत तोड़ो।
"Excuse me, is this seat taken?","माफ़ कीजिएगा, यहाँ कोई बैठा हुआ है क्या?"
Few people live on the island.,इस द्वीप पर बहुत कम लोग रहते हैं।
Half of the apples are rotten.,आधे सेव सड़ चुके हैं।
He did it as he had been told.,उसने वैसा करा जैसे उसे बताया गया था।
He is accustomed to hard work.,उसे मेहनत करने की आदत है।
He looked into the boy's eyes.,उसने लड़के की आँखों में देखा।
He spread butter on the bread.,उसने मक्खन को ब्रेड पर लगाया।
He was walking toward the sea.,वह समुंदर की ओर चल रहा था।
He will return within 3 hours.,वह तीन घंटों में वापस आएगा।
How about going to the movies?,फ़िल्म देखने चलें क्या?
How long have you been abroad?,आप विदेश में कबसे हैं?
How long have you been abroad?,आप विदेश में किता समय रहे हैं?
How was the weather yesterday?,कल का मौसम कैसा था?
I am sorry if I disturbed you.,माफ़ कीजिएगा अगर मैंने आपको परेशान किया तो।
I can't bear the sight of him.,मुझे उसको देखा नहीं जाता।
I can't put up with this cold.,मुझसे यह ठंड सही नहीं जाएगी।
I don't go to work on Sundays.,मैं रविवार को काम पर नहीं जाता।
I don't know if she will come.,मुझे नहीं पता कि वह आएगी कि नहीं।
I don't think it's reasonable.,मेरे विचार से यह युक्तियुक्त नहीँ है।
